account_id,tenant_id,industry,visits,spend,account_age_days,usage_frequency,support_tickets,renewal_days,last_activity_at,converted,opportunity_value,closed_at
acct_00001,tenant_001,saas,9,16927.99,444,54.3,2,46,2025-12-31,0,0.0,
acct_00002,tenant_002,healthcare,11,5020.65,230,44.7,1,359,2025-12-08,0,0.0,
acct_00003,tenant_003,finance,18,14038.17,336,56.2,0,112,2025-12-20,1,16182.24,2026-02-28
acct_00004,tenant_004,manufacturing,4,4635.21,390,56.5,1,23,2026-01-03,0,0.0,
acct_00005,tenant_005,saas,6,8940.53,318,39.4,0,307,2025-12-16,1,16215.2,2026-01-11
acct_00006,tenant_006,finance,6,16972.58,251,40.5,1,293,2025-12-28,0,0.0,
acct_00007,tenant_007,manufacturing,13,7259.49,433,57.6,1,207,2025-12-13,0,0.0,
acct_00008,tenant_008,finance,9,13239.53,300,45.9,2,100,2025-12-20,0,0.0,
acct_00009,tenant_009,finance,17,34491.9,890,64.3,1,219,2026-01-04,1,56373.37,2026-01-26
acct_00010,tenant_010,healthcare,10,8273.76,117,71.0,3,147,2025-12-24,0,0.0,
acct_00011,tenant_011,retail,2,1627.91,295,0.2,1,15,2025-12-25,1,2811.61,2026-03-29
acct_00012,tenant_012,saas,10,19808.83,693,55.0,0,114,2025-12-31,0,0.0,
acct_00013,tenant_013,saas,5,10267.93,365,10.3,3,149,2025-12-27,0,0.0,
acct_00014,tenant_014,saas,6,5692.02,150,78.8,1,254,2025-12-07,1,8191.4,2026-03-07
acct_00015,tenant_015,healthcare,7,3184.8,416,35.0,2,332,2026-01-01,0,0.0,
acct_00016,tenant_016,finance,5,5810.39,196,34.2,1,188,2026-01-01,0,0.0,
acct_00017,tenant_017,healthcare,4,2070.69,165,18.3,2,297,2026-01-02,0,0.0,
acct_00018,tenant_018,manufacturing,2,5681.74,111,56.2,4,181,2025-12-09,0,0.0,
acct_00019,tenant_019,saas,4,6482.96,724,42.3,2,164,2025-12-13,0,0.0,
acct_00020,tenant_020,saas,15,9581.85,124,78.1,0,174,2025-12-29,1,17033.73,2026-01-31
acct_00021,tenant_021,manufacturing,4,4646.81,518,39.6,0,116,2025-12-22,0,0.0,
acct_00022,tenant_022,saas,13,11651.71,417,86.9,1,211,2025-12-26,1,17187.51,2026-02-11
acct_00023,tenant_023,finance,8,11182.36,172,65.7,2,19,2025-12-16,0,0.0,
acct_00024,tenant_024,healthcare,10,11090.99,361,44.1,1,156,2025-12-09,1,14202.09,2026-02-20
acct_00025,tenant_025,finance,6,1911.9,86,38.9,2,100,2025-12-14,0,0.0,
acct_00026,tenant_026,retail,11,8339.12,2000,55.6,1,227,2025-12-27,0,0.0,
acct_00027,tenant_027,saas,10,18590.48,1825,59.7,2,84,2025-12-19,0,0.0,
acct_00028,tenant_028,manufacturing,5,1191.31,379,21.5,5,206,2025-12-27,0,0.0,
acct_00029,tenant_029,manufacturing,4,2001.31,111,33.0,1,60,2025-12-18,0,0.0,
acct_00030,tenant_030,manufacturing,8,6502.9,691,53.1,4,281,2025-12-07,0,0.0,
acct_00031,tenant_031,manufacturing,6,3746.75,259,41.9,3,225,2026-01-05,0,0.0,
acct_00032,tenant_032,manufacturing,2,1276.37,578,0.0,6,5,2025-12-19,0,0.0,
acct_00033,tenant_033,saas,9,17417.59,132,76.4,0,71,2025-12-24,1,34219.23,2026-03-14
acct_00034,tenant_034,manufacturing,9,7826.04,167,50.7,1,2,2025-12-21,1,6829.52,2026-02-28
acct_00035,tenant_035,saas,11,8480.56,387,64.1,0,22,2025-12-07,1,7641.04,2026-03-01
acct_00036,tenant_036,manufacturing,18,14715.83,1170,85.3,0,347,2025-12-31,1,10965.7,2026-03-20
acct_00037,tenant_000,healthcare,4,12236.44,131,36.4,0,344,2025-12-14,0,0.0,
acct_00038,tenant_001,finance,6,1570.87,100,49.2,2,9,2025-12-07,0,0.0,
acct_00039,tenant_002,retail,5,5137.47,401,18.5,2,83,2025-12-15,0,0.0,
acct_00040,tenant_003,saas,11,10439.87,108,45.9,0,9,2025-12-19,0,0.0,
acct_00041,tenant_004,finance,6,11724.18,2000,43.3,0,14,2025-12-09,1,23116.71,2026-03-20
acct_00042,tenant_005,finance,6,16364.43,356,60.4,1,247,2025-12-19,0,0.0,
acct_00043,tenant_006,finance,7,6221.05,111,60.7,4,61,2025-12-14,0,0.0,
acct_00044,tenant_007,manufacturing,3,1924.58,539,11.6,2,173,2025-12-07,0,0.0,
acct_00045,tenant_008,healthcare,9,4413.06,99,25.9,3,109,2025-12-14,0,0.0,
acct_00046,tenant_009,manufacturing,25,20522.46,284,100.0,1,248,2025-12-08,0,0.0,
acct_00047,tenant_010,saas,5,23121.68,772,66.1,5,146,2025-12-26,1,46503.37,2026-03-29
acct_00048,tenant_011,finance,1,3029.43,411,0.0,2,201,2025-12-18,0,0.0,
acct_00049,tenant_012,healthcare,7,6325.14,68,59.5,1,327,2025-12-26,0,0.0,
acct_00050,tenant_013,saas,4,5206.57,106,33.9,1,199,2025-12-21,0,0.0,
acct_00051,tenant_014,retail,13,9579.1,624,48.3,1,338,2026-01-05,0,0.0,
acct_00052,tenant_015,saas,9,9284.52,227,57.2,2,206,2026-01-04,1,17920.32,2026-01-22
acct_00053,tenant_016,manufacturing,11,2009.29,227,53.3,0,270,2026-01-03,0,0.0,
acct_00054,tenant_017,finance,9,29766.24,555,85.5,1,175,2025-12-13,1,26968.4,2026-02-24
acct_00055,tenant_018,finance,8,69034.62,965,74.9,1,84,2025-12-09,1,96342.64,2026-02-17
acct_00056,tenant_019,finance,5,25284.83,997,6.2,4,204,2025-12-19,0,0.0,
acct_00057,tenant_020,finance,7,17985.12,345,31.0,2,64,2025-12-26,0,0.0,
acct_00058,tenant_021,healthcare,13,16747.26,403,83.0,0,238,2025-12-28,1,9772.93,2026-01-10
acct_00059,tenant_022,finance,7,10975.72,406,37.0,0,4,2025-12-31,1,13737.3,2026-02-04
acct_00060,tenant_023,manufacturing,16,7447.67,216,59.7,0,341,2025-12-27,0,0.0,
acct_00061,tenant_024,saas,13,25572.06,616,76.1,0,135,2025-12-23,1,53042.22,2026-03-20
acct_00062,tenant_025,saas,8,17830.77,207,65.2,1,281,2025-12-21,0,0.0,
acct_00063,tenant_026,manufacturing,3,12290.65,1186,42.0,0,313,2025-12-17,0,0.0,
acct_00064,tenant_027,manufacturing,3,1733.8,209,22.8,8,124,2026-01-05,0,0.0,
acct_00065,tenant_028,retail,10,1357.8,169,58.6,0,315,2025-12-11,0,0.0,
acct_00066,tenant_029,finance,44,45484.13,57,100.0,0,143,2025-12-29,1,48289.41,2026-03-10
acct_00067,tenant_030,finance,10,39029.27,287,75.4,2,315,2025-12-16,1,24145.54,2026-01-06
acct_00068,tenant_031,finance,8,8406.15,414,56.2,0,171,2025-12-29,1,22771.5,2026-01-06
acct_00069,tenant_032,healthcare,8,9304.88,271,65.4,1,299,2025-12-17,0,0.0,
acct_00070,tenant_033,saas,6,11154.47,1226,25.2,3,191,2025-12-10,0,0.0,
acct_00071,tenant_034,retail,3,779.45,176,38.2,1,50,2025-12-25,0,0.0,
